gender,yearsExperience,yearsSchool,wage
female,8,13,4.1571449409
female,10,12,4.7444519565
female,8,12,6.6136220264
female,6,13,2.7375759677
female,8,13,5.2495275425
female,8,12,3.9851788339
female,10,12,7.9617834395
female,7,13,6.1182562326
female,8,12,3.1429922399
female,7,13,6.1244487996
female,7,12,4.8621578256
female,8,10,1.8094962362
female,7,12,2.3810941127
female,10,12,3.6746692798
female,9,13,6.984020561
female,9,13,12.248897599
female,10,12,7.3493385595
female,6,12,1.9780828421
female,10,12,3.2153356198
female,6,12,4.7278219187
female,7,13,8.7296711824
female,10,12,6.6546249644
female,8,13,4.6267022409
female,4,11,3.0622243998
female,7,13,5.9061957151
female,9,12,4.4795968363
female,8,12,3.3684468398
female,10,12,2.8070390332
female,5,14,7.7241182622
female,7,13,3.694563081
female,7,14,6.498828198
female,8,13,2.3891985138
female,6,12,4.5933365997
female,8,12,4.5933365997
female,7,11,4.0829658664
female,4,12,2.4560771536
female,8,13,7.6555609995
female,5,14,3.1649325474
female,6,13,4.9425376278
female,7,12,3.6746692798
female,6,10,2.0220402386
female,10,12,9.7991180794
female,6,13,7.5826508948
female,8,13,2.9903411979
female,9,12,4.2871141597
female,6,11,4.5933365997
female,4,12,1.2132241432
female,6,12,6.1244487996
female,7,14,7.1463085564
female,8,11,3.3616418967
female,3,12,2.1435570799
female,6,12,1.9598236159
female,1,13,4.32211101
female,8,12,0.1028907398
female,5,9,2.5477707006
female,8,12,7.9617834395
female,8,12,6.5739496289
female,7,11,4.2871141597
female,4,11,3.2938447178
female,6,12,6.9107704357
female,9,12,4.4479237092
female,5,11,0.7799298063
female,7,12,4.7230918709
female,8,12,3.9317449084
female,8,10,1.3504084986
female,6,13,3.5385704176
female,6,12,2.87054786
female,6,11,2.4811139091
female,4,12,4.1340029397
female,9,12,1.5329546935
female,8,12,2.4497795198
female,6,11,4.4613441687
female,3,13,4.0429136911
female,7,11,3.3684468398
female,7,14,5.1087252083
female,8,11,7.2599848992
female,6,12,8.2680058795
female,9,12,3.2153356198
female,6,12,4.9146811355
female,6,12,5.639596603
female,9,12,4.303666724
female,9,12,4.5933365997
female,7,12,2.7186577598
female,7,12,4.4053672057
female,10,11,2.3828757021
female,7,12,7.9617834395
female,4,11,4.7890426704
female,8,12,9.6096961834
female,6,12,0.9312027415
female,8,11,2.8201186031
female,8,13,3.5107076584
female,9,12,3.9808917197
female,4,12,5.5120039196
female,7,12,2.9488086813
female,5,12,4.5933365997
female,7,10,4.4785031847
female,7,12,3.0421142694
female,3,12,3.5783296357
female,8,12,5.2037800258
female,2,12,2.6154650912
female,8,12,2.7997480227
female,3,12,6.5486530455
female,6,11,4.4855117969
female,9,11,2.6211632723
female,9,12,7.8340542934
female,8,13,6.2784349409
female,8,12,4.5933365997
female,4,13,6.4306712396
female,8,12,5.247725439
female,7,12,12.535891451
female,5,12,2.2798842959
female,5,14,7.6555609995
female,3,12,4.8995590397
female,9,11,9.8369525121
female,6,12,7.3493385595
female,7,11,4.4605327626
female,8,8,1.7646227374
female,9,11,6.5870870183
female,9,10,3.7913254474
female,7,11,5.8182263596
female,5,11,9.5601151994
female,4,10,3.1376486461
female,8,11,4.7938485336
female,5,10,0.5188942364
female,6,10,2.9433580183
female,6,11,3.3924120742
female,4,11,6.1372080679
female,4,12,4.385411563
female,9,11,3.6746692798
female,6,12,2.8172464478
female,4,11,3.9196472317
female,7,11,2.9236712958
female,8,10,6.0884226302
female,3,10,1.7095431108
female,8,11,9.1866731994
female,2,11,2.5297811458
female,5,12,4.8131688299
female,4,11,4.0185657739
female,9,10,3.1867050665
female,5,11,1.5696087352
female,7,11,3.0622243998
female,4,11,4.8995590397
female,5,11,5.1574305681
female,7,10,1.7085372188
female,5,11,5.7562599327
female,5,11,5.7413645272
female,7,11,9.9079971691
female,3,10,2.3700192564
female,8,11,4.7770700637
female,8,11,3.3684468398
female,7,12,7.9617834395
female,4,11,3.0009799118
female,6,11,4.8344795078
female,8,10,5.0526702597
female,4,12,6.4306712396
female,6,11,0.7655561
female,5,11,5.2002694757
female,5,10,3.4805610664
female,4,11,0.9295483203
female,8,10,1.8761644785
female,4,12,4.2871141597
female,7,13,3.7555582262
female,6,11,3.6746692798
female,7,11,15.923566879
female,5,12,5.4082564263
female,5,12,5.1366344771
female,2,11,1.7122114924
female,4,10,4.4607615196
female,9,10,2.9013278635
female,9,10,6.0445247428
female,9,10,8.2680058795
female,7,11,6.2856185049
female,8,12,5.6651151396
female,7,10,5.6651151396
female,3,12,3.1847133758
female,4,11,5.861435661
female,8,11,6.5118739952
female,7,11,1.7777506882
female,9,10,6.8243858053
female,8,11,4.2462845011
female,5,11,5.3895149437
female,5,8,2.9785089126
female,6,10,1.6331863466
female,5,10,2.7560019598
female,7,11,3.9709093713
female,8,10,6.2605476618
female,6,10,3.2570932252
female,4,10,3.1551339946
female,7,10,6.1244487996
female,7,10,3.6938917385
female,8,10,3.1154804763
female,9,10,0.9186673199
female,6,12,12.248897599
female,8,10,1.7284740167
female,5,11,5.5872164488
female,5,10,4.4437861058
female,3,9,3.2729404666
female,7,9,3.6746692798
female,9,14,5.1445369917
female,8,15,5.2086433716
female,11,12,6.451247451
female,12,12,4.5933365997
female,11,12,3.8964682412
female,6,14,5.0179307392
female,10,14,5.7569818716
female,11,11,0.4246284501
female,9,15,5.0906418422
female,9,14,5.8674350834
female,11,12,4.6083707763
female,12,11,4.2871141597
female,9,10,4.4729120447
female,11,12,7.1237009722
female,7,15,8.5495661095
female,8,15,10.411562959
female,6,14,3.0330603579
female,3,14,5.9713375796
female,13,11,5.4439544885
female,7,14,2.2568834947
female,9,13,5.6617126681
female,10,10,2.5477707006
female,11,12,5.9021715073
female,12,12,2.8784909358
female,11,12,3.7103456805
female,9,13,7.6471356697
female,10,13,4.4897275035
female,9,12,4.2194335602
female,9,14,6.1244487996
female,4,14,3.9808917197
female,13,11,5.1196337956
female,8,12,3.3868201862
female,8,13,1.6543965589
female,10,13,8.9327326394
female,7,12,5.1366344771
female,10,13,3.9808917197
female,14,9,5.7526182403
female,9,14,8.1731582211
female,9,12,7.593266606
female,9,14,10.419403648
female,11,12,4.491262453
female,8,12,4.0143445913
female,10,12,3.0896473049
female,8,14,3.7733570803
female,8,14,5.9713375796
female,10,12,3.821656051
female,9,13,5.8182263596
female,10,12,4.0059287746
female,11,12,5.5120039196
female,11,12,6.7368936796
female,4,16,9.4361877801
female,7,13,7.0431161195
female,8,13,7.3065743285
female,11,12,6.6494015539
female,13,10,9.1993096137
female,11,12,7.6555609995
female,11,12,7.6072100879
female,7,14,7.2741748697
female,8,14,3.3684468398
female,11,12,2.8708353748
female,10,12,5.6962353063
female,10,12,6.2704201181
female,15,6,4.303666724
female,8,14,11.452719255
female,7,14,1.2489072062
female,7,13,5.0726044074
female,7,12,7.0147871714
female,9,12,6.4306712396
female,9,12,6.7368936796
female,9,12,3.6746692798
female,9,10,0.4496065942
female,8,13,7.4832849318
female,10,9,3.2148526191
female,7,13,3.2920013231
female,9,12,5.0593272692
female,7,12,3.0622243998
female,11,9,3.0330603579
female,7,12,3.6428749569
female,9,12,3.4616449737
female,9,12,4.5933365997
female,9,13,6.8593826556
female,10,12,5.1924674605
female,7,13,9.0723661982
female,4,15,7.9617834395
female,6,9,2.4497795198
female,8,14,14.698677119
female,6,13,0.428711416
female,7,11,7.9617834395
female,7,13,7.3493385595
female,5,13,5.0551005965
female,7,13,5.1848808873
female,12,9,3.6316906917
female,9,12,4.9852787651
female,9,11,0.07655561
female,5,12,0.4747398821
female,8,13,7.0929028414
female,7,12,2.7322228697
female,9,12,4.0227958431
female,8,13,4.9358765258
female,9,10,3.6746692798
female,8,14,3.3093661681
female,8,12,5.3737099145
female,8,12,4.7574718275
female,6,10,2.6628038259
female,8,10,5.294280548
female,9,12,3.2663726931
female,6,10,4.8407643312
female,5,11,1.1857975335
female,6,12,4.1571268721
female,6,12,6.7368936796
female,9,11,2.8466711739
female,5,10,2.7560019598
female,8,12,3.9808917197
female,7,11,6.0306274563
female,9,12,5.3744943977
female,12,8,2.1435570799
female,12,9,4.5933365997
female,7,12,3.3684468398
female,8,12,5.7511753965
female,10,8,6.1480953201
female,1,12,2.7746776749
female,8,11,4.7651571708
female,4,11,2.4497795198
female,9,12,7.0122129375
female,4,12,8.1659317328
female,6,9,3.5433038299
female,8,12,2.370754374
female,8,11,7.7307026536
female,8,12,3.3684468398
female,8,12,6.1244487996
female,8,12,4.5933365997
female,9,9,3.7467216186
female,6,12,5.9713375796
female,7,11,1.887237556
female,4,11,1.8387490622
female,10,9,2.6028907398
female,9,10,3.0622243998
female,9,11,5.8021093891
female,8,11,7.3493385595
female,5,8,1.4812620353
female,8,9,4.8285041294
female,8,11,6.4994150526
female,5,11,3.6746692798
female,9,11,5.7291140094
female,8,10,6.8243858053
female,6,11,3.2459578638
female,7,11,4.7691215278
female,9,11,3.4634552551
female,9,9,5.5120039196
female,9,11,5.8903453313
female,5,10,3.256353145
female,5,10,3.8602586373
female,9,10,4.8459421872
female,5,12,8.0978823017
female,8,11,4.1030049627
female,3,10,3.3684468398
female,8,11,4.2871141597
female,4,12,5.2764481966
female,7,11,4.7770700637
female,7,9,4.8745612895
female,8,11,3.7359137678
female,7,10,5.8182263596
female,8,10,4.0194110759
female,8,11,5.6816482761
female,8,11,7.6555609995
female,7,11,7.3493385595
female,8,12,4.6834020232
female,6,7,5.790387956
female,6,9,2.0489723207
female,7,11,2.3221868365
female,4,11,9.9263793531
female,5,11,4.9761146497
female,6,10,3.7969757088
female,6,11,4.8144292014
female,4,11,2.2707006369
female,3,10,5.5732484076
female,10,10,7.3720217032
female,9,11,6.4729946663
female,8,9,1.5824662737
female,5,9,3.2449772388
female,10,5,0.6031654121
female,6,8,1.9798395764
female,5,10,7.3493385595
female,4,10,4.9628450106
female,8,10,3.2218890183
female,4,11,5.1075591876
female,5,10,4.6855553115
female,9,6,2.211606511
female,5,9,2.2747952684
female,3,11,2.6444832302
female,9,10,7.4138064416
female,8,10,7.2633813834
female,7,10,7.5886736516
female,9,10,7.4694770008
female,9,7,2.6589637293
female,6,9,5.7259401448
female,9,8,2.7560019598
female,6,9,4.3366309798
female,9,15,8.9825249061
female,9,15,7.7025625833
female,7,13,3.6396724295
female,8,12,2.6710499281
female,6,14,5.6140780663
female,11,12,5.1113311567
female,8,12,5.3973274524
female,9,12,2.365304364
female,9,15,7.0194928264
female,10,12,4.5267665041
female,10,13,9.624133828
female,12,12,7.0914670311
female,12,12,4.5495905369
female,11,13,5.5201698514
female,8,14,2.5225452482
female,7,15,10.557060914
female,7,15,7.6993070624
female,11,12,6.0268480219
female,6,16,5.0417626002
female,9,15,5.010365193
female,12,9,3.9808917197
female,8,12,3.7784734967
female,10,12,4.491262453
female,8,10,0.22966683
female,11,12,6.1703821656
female,11,13,12.248897599
female,12,12,3.9808917197
female,14,7,0.4447923709
female,8,13,4.4317494412
female,10,12,3.0622243998
female,11,12,2.5077992981
female,10,12,3.1070374398
female,10,13,6.6348195329
female,9,12,6.0251334137
female,10,12,5.6969622734
female,11,12,12.312036247
female,7,15,3.8901222017
female,10,12,2.7560019598
female,12,12,5.1751592357
female,12,10,2.7052941579
female,8,16,4.184513117
female,11,13,3.9352151157
female,11,12,4.382633086
female,10,13,10.899087528
female,10,12,7.3961922662
female,9,15,6.4306712396
female,7,10,14.091652105
female,8,15,6.8243858053
female,8,14,3.6053358971
female,12,12,5.6927971477
female,9,12,2.4115017148
female,13,11,5.3588926997
female,11,12,0.4258112592
female,11,12,3.0622243998
female,11,12,2.4566932908
female,10,12,6.7368936796
female,8,15,12.669745799
female,3,15,2.4126616483
female,8,12,2.5735057582
female,10,14,9.8344211296
female,6,14,0.6144141561
female,11,12,6.6160240102
female,10,14,15.127388535
female,10,12,9.3927030438
female,12,12,4.9608035277
female,12,12,4.8932855966
female,10,12,2.211606511
female,12,12,3.3684468398
female,11,12,5.5271885034
female,12,12,7.5456271436
female,8,12,5.1328713749
female,7,16,9.3668040465
female,6,16,5.9323092294
female,12,12,3.7945521073
female,10,13,3.8996490316
female,10,12,8.5742283195
female,11,13,6.2775600196
female,10,14,3.6746692798
female,11,12,1.1961364792
female,5,12,3.0622243998
female,8,14,5.7124903602
female,12,12,6.7924085572
female,11,13,3.116157902
female,10,12,7.5636942675
female,10,12,3.8496535312
female,12,12,5.3725249076
female,11,13,3.0547250747
female,11,13,9.5903300521
female,8,15,12.395985811
female,9,13,5.925048141
female,12,12,4.948500251
female,11,12,3.9196472317
female,10,13,3.0622243998
female,3,15,3.2685216225
female,8,12,11.15418936
female,11,12,2.9856687898
female,10,12,6.1030132288
female,7,12,4.1449631789
female,10,10,6.3694267516
female,6,13,2.9890654551
female,9,15,6.2729202857
female,6,16,5.3674944536
female,10,12,4.3711752217
female,10,12,4.4096031357
female,12,11,4.0693559802
female,10,11,3.9602653378
female,7,16,6.7368936796
female,7,14,0.9621490561
female,8,12,6.5327453862
female,10,14,5.5028172464
female,9,10,2.7513722469
female,16,8,2.8640234285
female,8,15,6.5550457686
female,9,15,4.7770700637
female,9,15,4.9631896766
female,9,15,6.1244487996
female,8,15,6.7082260469
female,8,15,6.0938265556
female,5,14,8.9171974522
female,7,15,5.2588758998
female,8,15,3.0219907946
female,12,10,3.821656051
female,13,10,5.5120039196
female,8,15,5.5120039196
female,10,12,3.1070374398
female,7,12,8.0830288726
female,9,9,21.231422505
female,9,14,5.8182263596
female,7,14,4.9307146543
female,9,15,4.4136348214
female,8,15,7.4173205482
female,10,12,3.6746692798
female,8,15,5.8182263596
female,11,12,3.2235513438
female,13,9,1.6211776234
female,6,12,1.0158575361
female,12,9,6.3796341663
female,12,12,3.5850431998
female,11,11,2.7560019598
female,10,14,0.7729886834
female,9,12,2.1373915274
female,11,11,3.5521803038
female,11,12,4.3051584629
female,10,10,3.574678279
female,6,16,10.128063739
female,8,15,4.444599986
female,12,12,4.7464478197
female,10,14,5.9158762399
female,10,14,5.3106215751
female,9,15,8.6984494628
female,9,15,15.311121999
female,11,12,2.8100412139
female,8,15,8.0223293212
female,7,15,7.8723251986
female,7,15,12.948834605
female,9,15,3.5276825086
female,9,14,7.1700863995
female,9,15,8.3598726115
female,9,15,7.111342906
female,8,15,11.18476047
female,9,15,8.5742283195
female,7,14,2.9973772949
female,8,14,9.3178656763
female,11,10,6.244536031
female,7,13,2.1231422505
female,3,14,2.3945213352
female,9,15,7.1432823382
female,8,15,5.9028226736
female,7,15,7.7361458521
female,11,13,3.651263743
female,6,12,2.6650321136
female,9,12,32.497400234
female,12,12,8.4211170995
female,7,13,6.0884226302
female,10,14,1.5596049832
female,12,12,6.0325820676
female,12,12,5.8794708476
female,7,16,8.7273395394
female,7,12,2.7560019598
female,9,14,11.777786153
female,11,12,7.6629607191
female,9,15,6.87701603
female,9,14,7.0431161195
female,8,12,5.854252529
female,11,12,0.91121985
female,11,12,1.6331863466
female,8,15,9.0165496216
female,8,12,2.7014275422
female,9,12,7.9268122092
female,10,12,5.8182263596
female,9,14,8.2719827943
female,13,9,6.7691276206
female,9,12,8.2935244161
female,13,9,7.2052338819
female,10,12,6.4245873501
female,11,12,7.2831283022
female,8,14,5.0685093514
female,9,12,8.3698117629
female,10,12,7.232505774
female,10,12,5.1753277034
female,5,12,4.1082473888
female,9,13,4.2871141597
female,7,14,8.7160576601
female,6,14,6.7368936796
female,8,12,4.1739362723
female,13,10,3.4450024498
female,10,13,9.1866731994
female,10,12,7.5191252589
female,10,12,3.0115492915
female,11,12,4.1449631789
female,9,13,16.003584803
female,10,8,3.0944583409
female,9,14,11.024007839
female,7,11,1.8115548213
female,8,14,7.6555609995
female,11,12,6.4306712396
female,9,12,4.0727584517
female,7,12,1.9035068453
female,11,12,6.0504053772
female,8,12,2.6265677326
female,10,12,3.7913254474
female,11,12,5.092407612
female,7,13,7.3065743285
female,3,15,4.4855117969
female,8,14,12.283894449
female,4,12,2.9856687898
female,9,14,15.311121999
female,7,12,1.2156505914
female,8,12,4.3967510941
female,9,13,3.5521803038
female,9,13,6.1863972472
female,7,12,2.562413061
female,9,10,2.5971548023
female,9,10,4.644373673
female,6,12,2.578715284
female,8,13,4.2062252133
female,11,11,4.5933365997
female,6,12,1.5923566879
female,10,12,2.7408197434
female,7,13,4.4402253797
female,9,12,1.6939964765
female,8,14,6.3694267516
female,5,12,1.9200974615
female,9,14,7.2624375968
female,5,12,3.6746692798
female,10,12,3.6746692798
female,9,13,3.821656051
female,9,14,7.6555609995
female,8,14,9.6708573715
female,11,12,6.7209860203
female,8,14,7.1009595674
female,9,14,10.795638562
female,9,14,9.2741653251
female,8,12,4.0783344424
female,10,12,5.8182263596
female,7,14,7.1349828515
female,10,12,3.8996490316
female,8,14,8.8464260439
female,11,12,4.2871141597
female,9,14,20.99811017
female,9,14,6.6302906459
female,3,15,3.9808917197
female,6,12,2.6951029979
female,8,14,7.6555609995
female,10,12,6.8488459695
female,11,12,5.5732484076
female,9,12,0.6687062206
female,11,12,5.2531354652
female,8,14,8.0820520715
female,9,12,3.3458078267
female,10,12,10.148102603
female,10,12,7.3493385595
female,12,7,3.0622243998
female,11,12,2.9292202741
female,8,12,4.1588421783
female,11,12,7.1299553189
female,7,14,5.3895149437
female,7,12,1.0919017288
female,9,14,4.5933365997
female,10,12,5.0526702597
female,14,7,3.1450896164
female,10,9,4.6391494057
female,7,14,6.1244487996
female,8,13,30.862170858
female,7,14,9.1866731994
female,7,15,10.313190984
female,8,13,6.7368936796
female,7,13,7.6963906582
female,6,14,16.971826768
female,8,13,6.8243858053
female,8,12,4.5066698714
female,7,15,4.1878493932
female,11,12,3.1756401183
female,11,12,5.2057814797
female,11,12,2.1963540523
female,9,13,4.3823577084
female,8,14,4.5933365997
female,11,12,4.5933365997
female,12,10,6.4306712396
female,6,12,3.9156311997
female,12,9,3.0622243998
female,6,14,5.8362421582
female,9,10,7.3493385595
female,7,14,8.7579617834
female,9,14,10.795638562
female,13,10,5.790387956
female,15,8,2.3885350318
female,6,15,2.9125701065
female,8,14,7.1130654079
female,4,12,2.113079965
female,10,12,7.4751218601
female,6,13,1.1905470564
female,8,14,7.4126949264
female,7,14,2.5477707006
female,8,14,10.464058235
female,8,15,7.4309978769
female,7,12,3.3760212464
female,7,15,6.1244487996
female,8,9,3.2842356688
female,9,13,6.7368936796
female,10,12,4.7120759132
female,7,9,8.0748310745
female,10,10,4.3526834293
female,10,12,15.311121999
female,6,14,2.3246083035
female,8,14,7.1962273395
female,6,14,9.7378735914
female,8,14,3.1847133758
female,8,14,9.2758642013
female,8,14,6.1621542891
female,12,10,5.780867222
female,9,13,7.9617834395
female,11,11,4.6436086828
female,7,14,2.7639749645
female,8,9,2.8810907366
female,8,13,2.7173322319
female,7,10,1.8366282444
female,11,12,2.7560019598
female,10,12,4.5593459089
female,7,12,3.0350959689
female,8,12,3.9808917197
female,6,15,6.1244487996
female,7,14,12.861342479
female,11,12,7.8392944635
female,8,11,2.8034448731
female,7,14,13.998740113
female,8,14,2.9193205945
female,6,15,10.411562959
female,8,14,5.5290162774
female,9,13,4.4096031357
female,10,12,4.8995590397
female,7,15,5.6712395884
female,7,11,4.1340029397
female,8,14,7.2517192618
female,9,14,8.9570063694
female,7,14,11.636452719
female,8,13,3.2764540903
female,6,14,3.6307807216
female,5,11,2.9711611669
female,6,13,5.5640969324
female,8,15,6.1351746294
female,8,14,7.2517192618
female,7,15,14.649095565
female,7,14,10.311001022
female,9,14,5.5120039196
female,4,12,1.1362041425
female,4,12,5.4284887087
female,9,12,13.178124314
female,9,14,8.7894573389
female,10,12,6.0251334137
female,7,14,2.8847041447
female,9,14,4.9487291045
female,11,12,5.7263596276
female,8,15,4.8995590397
female,10,12,3.9808917197
female,7,14,7.8392944635
female,8,14,8.2796633725
female,9,12,6.4994150526
female,5,12,1.7249894352
female,8,13,4.8995590397
female,6,14,12.132241432
female,11,12,3.1222680155
female,13,9,5.397819281
female,6,13,8.5742283195
female,7,13,6.4306712396
female,6,13,7.0063694268
female,6,13,5.4346644638
female,6,13,8.9623180881
female,8,13,10.978937464
female,8,13,8.8192062714
female,8,13,3.2386915686
female,10,12,5.6051867939
female,9,13,7.1812164356
female,8,13,6.1556006246
female,8,12,6.7368936796
female,6,13,7.8739050351
female,9,12,5.5455208036
female,5,13,7.9617834395
female,10,12,2.3873413612
female,7,12,3.0622243998
female,6,13,1.0686957637
female,8,13,4.1521686777
female,6,12,4.0312827542
female,10,12,5.6533373535
female,4,12,16.472655392
female,8,10,1.5923566879
female,10,12,4.2819675641
female,3,13,9.4783136184
female,6,12,1.7402805332
female,9,13,3.3684468398
female,9,13,5.4268658422
female,7,13,5.2057814797
female,9,12,3.5336625529
female,7,13,9.1866731994
female,6,11,1.858782126
female,9,12,1.3054079864
female,11,11,3.8176374852
female,8,13,4.4096031357
female,7,11,0.2123142251
female,7,15,8.7119818791
female,7,12,4.0873326748
female,6,13,5.6600356205
female,9,12,8.5742283195
female,8,12,2.6580810648
female,8,12,2.441729861
female,9,12,7.2956581318
female,6,14,7.9617834395
female,8,12,1.5923566879
female,8,13,7.1962273395
female,9,12,5.1681752151
female,7,14,8.3151785269
female,6,12,3.0504291651
female,10,12,1.3965454899
female,9,12,2.8221056189
female,6,12,3.2587764776
female,9,12,5.5120039196
female,8,12,4.7426855931
female,9,12,5.790387956
female,4,14,9.8598726115
female,8,12,3.6746692798
female,6,12,2.8576690311
female,8,12,3.9439174932
female,3,12,2.148204638
female,10,10,3.9808917197
female,8,13,8.5742283195
female,6,13,5.8078903881
female,7,13,4.3240720404
female,2,13,6.7341956845
female,5,9,1.1927765452
female,10,12,4.1340029397
female,8,12,4.5933365997
female,11,10,12.17684526
female,7,13,7.4358013661
female,8,13,6.833101496
female,10,12,8.9171974522
female,9,12,8.2839365266
female,7,13,7.3519091571
female,7,12,0.6824385805
female,7,12,3.7031550881
female,6,12,5.8505117926
female,8,12,7.1513024906
female,8,13,7.1615858382
female,6,13,1.185377187
female,8,12,5.2406675804
female,7,13,3.7809382544
female,8,13,3.5265974017
female,6,13,7.6555609995
female,6,13,4.8085103235
female,8,13,5.3391207478
female,7,13,3.7436630703
female,9,12,4.4708476237
female,10,12,5.7222235377
female,5,12,1.7292561317
female,7,12,1.3339113616
female,9,12,3.3463256964
female,8,12,4.9806363752
female,9,13,5.6651151396
female,6,10,4.4096031357
female,6,12,0.6757069139
female,10,12,8.9303302909
female,9,12,3.1154804763
female,10,12,6.0868241995
female,9,12,3.0622243998
female,8,12,6.0387341663
female,7,14,6.5225379716
female,9,13,5.2057814797
female,8,12,2.3331233522
female,10,11,4.8211491416
female,8,12,6.6656791586
female,9,13,5.2789036865
female,9,13,5.639596603
female,10,12,6.8043109748
female,7,12,5.5120039196
female,8,13,7.9617834395
female,6,14,12.552361278
female,6,12,9.1101856388
female,8,11,4.5495905369
female,9,12,6.2953636498
female,8,12,6.175344496
female,7,13,6.1244487996
female,6,12,3.4996850283
female,8,12,3.3665046256
female,7,13,6.1223052425
female,8,13,5.2980985388
female,9,12,4.3126326964
female,8,13,5.0745432911
female,6,12,3.821656051
female,6,13,6.2775600196
female,8,12,8.7273395394
female,7,13,5.2608834526
female,7,13,10.942348522
female,6,13,5.5732484076
female,9,12,9.3302149682
female,4,12,7.9141080896
female,5,12,5.3895149437
female,9,12,2.9091131798
female,11,11,9.0133397428
female,9,12,4.9927016985
female,3,12,2.2456312265
female,9,12,3.3684468398
female,8,13,7.3493385595
female,8,12,4.0589484201
female,8,11,3.0293615038
female,5,12,2.4497795198
female,4,13,2.7186577598
female,6,12,0.6798238733
female,9,12,5.237084218
female,7,12,3.1790365249
female,8,13,4.8995590397
female,6,8,0.0979911808
female,7,12,2.564181462
female,8,13,11.373976342
female,8,13,5.7039642552
female,7,13,8.0098424945
female,11,9,0.9080649137
female,8,13,7.4063101763
female,8,13,2.8365868125
female,7,13,3.6676161717
female,7,12,2.9856687898
female,9,12,4.6545810877
female,8,12,2.7890079713
female,10,12,2.1021210401
female,8,12,4.0904575469
female,6,14,8.6481440808
female,9,11,3.0170968823
female,8,12,2.5477707006
female,6,9,1.1450654834
female,7,13,7.6555609995
female,11,11,7.0771408351
female,8,13,1.7498425142
female,10,12,5.5120039196
female,8,12,3.9808917197
female,6,12,4.0146689828
female,4,12,3.9705517413
female,10,12,3.5385704176
female,5,14,4.4626556858
female,7,13,6.1244487996
female,9,12,4.0882629884
female,7,12,1.707621113
female,6,13,6.7368936796
female,3,13,0.5941629432
female,4,12,1.4519969798
female,6,13,9.7991180794
female,8,13,5.6971616741
female,9,12,16.780989711
female,9,12,2.8626637086
female,8,14,5.790387956
female,7,13,7.5024497795
female,3,12,3.5498397501
female,9,13,2.4146942192
female,13,7,4.3551635908
female,10,11,1.995434446
